"obs","time","elapsed","date","hhmmss","averaging","id","machine","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_.","Flow_.","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccH2O_hum","CO2_hrs","AccCO2_soda","AccH2O_des","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","NA.","chamber"
1,1678141718.6,0,"20230306 16:28:38","16:28:38",5,"ely_can21_t3_ch4","gibson",1678141715.85,0.000458259249741202,0.458259249741202,0.300581622488326,419.653899858047,344.522340146161,30.9746056583583,37.7293793359834,0.0101426947446347,3.851935588244,0.0101278808364647,0.00633125466208389,0,35.2844859492272,34.99327,5.64626662920263,30.2663100281783,1.74549420215257,5.76711928387535,3.90077242705006,-20.209232913587,79.5255229214234,4.830279986527,64.1465699943634,0.300581622488326,0.458259249741202,0.268259476946724,428.080165689045,427.962206060606,-0.000262732767064674,67.2944550143451,0.459887212162833,19.2184782796959,19.41494,8.29132849202792e-06,110.132939756558,10,2,1,0,46222,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141715.85,419.6539,419.8687,19.41467,19.21884,419.3667,19.40761,500.2348,89.8058,0.10014237,35.37622,34.99327,999.9,0,0,9986.816,0,0.2296616,-0.2146027,427.9627,428.0961,0.1958294,419.8687,19.21884,1.743551,1.725962,15.2897,15.13192,0,0,0,0,-2.73,0,-11.75,-1.9,37.4433,42,39.7996,41.1996,39.0186,0,0,0,1678141722.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.2220185,-0.00376867542213854,0.0212342642267162,1,0.19582595,-0.00936101313320825,0.00159615798011976,1,2,2,"2/2",2.84162,2.71013,0.0901103,0.0901381,0.0878292,0.0866736,25769.2,22212.7,25353.2,23784.7,39513.8,35948.5,45877.6,42421.9,1.74303,1.83763,0.160888,0,32.391,999.9,44.891,31.602,23.3365,54.5557,43.75,1,0.153918,-3.22254,20.217,5.23436,11.992,4.9564,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87179,1.86261,1.86203,1.86844,1.85855,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0071,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45032.9,45032.9,1.05103,2.37061,1.44775,2.2998,1.44409,2.44019,37.0032,24.3239,18,417.195,460.794,37.7488,29.626,30.0002,29.2637,29.2617,21.0971,29.8075,68.4758,37.8034,419.906,19.2159,97.065,99.7421,NA,4
2,1678141723.6,5,"20230306 16:28:43","16:28:43",5,"ely_can21_t3_ch4","gibson",1678141721.1,0.000461697196565618,0.461697196565618,0.383208928558723,419.681110928816,332.408411080389,29.8853617762675,37.7316620539434,0.0102214180309061,3.84554410625484,0.0102063484909492,0.00638031986480101,0,35.2817995287684,34.9908111111111,5.64549781273016,30.272632205811,1.74568012515257,5.76652903283872,3.89981768757758,-20.3608463685438,79.5191113058154,4.83781653294341,63.9960814702151,0.383208928558723,0.461697196565618,0.400570254259677,428.184482953261,428.001145454545,0.00113566429708057,67.2944550143451,0.462461458055789,19.2197509125621,19.4173212121212,7.29056508064432e-06,110.132939756558,10,2,1,0,45992,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141721.1,419.681111111111,419.932555555556,19.4168222222222,19.2195222222222,419.393888888889,19.4097,500.231555555556,89.8053444444444,0.100207822222222,35.3743666666667,34.9908111111111,999.9,0,0,9964.02555555556,0,0.233386666666667,-0.251529333333333,427.991444444444,428.161666666667,0.197280888888889,419.932555555556,19.2195222222222,1.74373444444444,1.72601555555556,15.2913222222222,15.1324111111111,0,0,0,0,-3.62222222222222,0,-15.2666666666667,-2.5,37.472,42,39.812,41.187,39.0275555555556,0,0,0,1678141728.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.229444609756098,-0.0838758397212539,0.0244243073086269,1,0.195577317073171,0.00535440418118492,0.00143916478893437,1,2,2,"2/2",2.84183,2.70987,0.0901123,0.0901343,0.0878336,0.0866669,25769.6,22212.3,25353.6,23784.3,39513.7,35948,45877.8,42421,1.74285,1.83805,0.160165,0,32.3989,999.9,44.891,31.602,23.3378,54.7757,43.0329,1,0.154228,-3.21751,20.2171,5.23406,11.992,4.9568,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87178,1.86259,1.86203,1.86844,1.85853,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0071,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033,45033,1.05103,2.37305,1.44775,2.2998,1.44409,2.46216,37.0032,24.3152,18,417.112,461.078,37.8004,29.626,30.0004,29.266,29.2637,21.0981,29.8075,68.4758,37.8092,419.906,19.2159,97.0658,99.7401,NA,4
3,1678141728.6,10,"20230306 16:28:48","16:28:48",5,"ely_can21_t3_ch4","gibson",1678141725.8,0.00046408651334704,0.46408651334704,0.336826456716502,419.671799841024,339.689383796281,30.5398081210499,37.7306352577888,0.010275864662157,3.86247587064268,0.0102607009396944,0.00641429859373302,0,35.2830184344084,34.98891,5.64490345802521,30.2703588987895,1.74567564486206,5.76694729883717,3.89922781316315,-20.4662152386044,80.5385864926381,4.87834665025989,64.9507179042936,0.336826456716502,0.46408651334704,0.245536724183057,428.122978080918,428.0074,0.00137158196777727,67.2944550143451,0.463010644326614,19.2180877805122,19.4159812121212,-3.9917469164415e-07,110.132939756558,10,2,1,0,46075,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141725.8,419.6718,419.9035,19.41687,19.21852,419.3843,19.40976,500.1585,89.80543,0.0996703,35.37568,34.98891,999.9,0,0,10024.564,0,0.2266012,-0.2318481,427.9817,428.1317,0.198354,419.9035,19.21852,1.743741,1.725928,15.2914,15.13162,0,0,0,0,-1.63,0,-15.49,-3.24,37.4874,42.0124,39.812,41.2185,39.0248,0,0,0,1678141733,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.2303238,-0.0680999549718567,0.0255676636185241,1,0.196340025,0.0172618424015004,0.00201485909541462,1,2,2,"2/2",2.84171,2.71056,0.0901226,0.0901482,0.0878255,0.0866727,25769.2,22212.3,25353.5,23784.6,39513.6,35948.2,45877.2,42421.5,1.74293,1.83765,0.160143,0,32.4075,999.9,44.915,31.612,23.3634,54.4557,42.6883,1,0.154413,-3.18263,20.2176,5.23421,11.992,4.9566,3.304,9999,999.9,9999,9999,1.86845,1.86416,1.87178,1.8626,1.86203,1.86844,1.85854,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0071,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033.1,45033.1,1.05225,2.39502,1.44897,2.2998,1.44409,2.26685,37.0032,24.3064,18,417.168,460.835,37.8164,29.6285,30.0001,29.2681,29.2649,21.0953,29.8075,68.4758,37.8175,419.906,19.2159,97.0649,99.7413,NA,4
4,1678141733.6,15,"20230306 16:28:53","16:28:53",5,"ely_can21_t3_ch4","gibson",1678141731.1,0.000458989239083851,0.458989239083851,0.472642358010872,419.658333111796,318.381817199986,28.624517014349,37.7299093334419,0.0101555234175988,3.8576563204656,0.0101406940307316,0.00633926429768181,0,35.2834482176609,34.9976888888889,5.6476485041451,30.2701766219919,1.7456188584768,5.76679442698917,3.90202964566829,-20.2414254435978,78.5124835715872,4.76175613290425,63.0328142608936,0.472642358010872,0.458989239083851,0.556368234369302,428.19304611792,427.949254545454,-0.000721532953575423,67.2944550143451,0.462056823029039,19.2199198271083,19.4174127272727,-7.81225464138189e-06,110.132939756558,10,2,1,0,46476,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141731.1,419.658333333333,419.948222222222,19.4159888888889,19.2198666666667,419.371333333333,19.4088888888889,500.284444444444,89.8062555555556,0.0999999777777778,35.3752,34.9976888888889,999.9,0,0,10007.2244444444,0,0.222567,-0.289655777777778,427.967888888889,428.177555555556,0.196134,419.948222222222,19.2198666666667,1.74367666666667,1.72606444444444,15.2908333333333,15.1328222222222,0,0,0,0,-0.788888888888889,0,-11.6666666666667,-2.1,37.5,42.0137777777778,39.812,41.236,39.0344444444444,0,0,0,1678141737.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.243399025,-0.189099951219512,0.0329530956015421,0,0.1967562,0.00495169981238267,0.00165980348535602,1,1,2,"1/2",2.84152,2.71031,0.0901121,0.0901391,0.0878297,0.0866738,25769.2,22212.2,25353.2,23784.3,39513.2,35947.5,45877,42420.7,1.7429,1.83785,0.159621,0,32.4169,999.9,44.891,31.602,23.3359,54.2557,43.2973,1,0.0886789,-3.07887,20.2181,5.23361,11.992,4.95665,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87179,1.86259,1.86203,1.86844,1.85852,1.86494,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0072,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033.2,45033.1,1.05225,2.38892,1.44775,2.2998,1.44409,2.37061,37.0032,24.3152,18,417.167,460.976,37.8236,29.6285,30.0002,29.27,29.2668,21.0956,29.8075,68.4758,37.8204,419.906,19.2159,97.0642,99.7397,NA,4
5,1678141738.6,20,"20230306 16:28:58","16:28:58",5,"ely_can21_t3_ch4","gibson",1678141735.8,0.00046470633600156,0.46470633600156,0.578088318090461,419.615799726796,303.332939441446,27.2709507025059,37.7252856528331,0.0102785876880949,3.85169300144633,0.0102633735287794,0.00641597348145352,0,35.2862000090213,35.00215,5.64904388097964,30.2657933315511,1.74575457360746,5.76807802287991,3.90328930737218,-20.4935494176688,78.3015945542759,4.75651485710951,62.5645599937166,0.578088318090461,0.46470633600156,0.548590206352743,428.187951038053,427.944981818182,-0.00016631841855766,67.2944550143451,0.465109103662412,19.2190277460294,19.41778,-1.49825725758784e-08,110.132939756558,10,2,1,0,46192,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141735.8,419.6158,419.9527,19.41791,19.21933,419.3286,19.41076,500.2459,89.80417,0.10017983,35.37923,35.00215,999.9,0,0,9986.13,0,0.2332785,-0.3368163,427.9252,428.182,0.1985796,419.9527,19.21933,1.743809,1.725976,15.29201,15.13205,0,0,0,0,1.03,0,-15.4,-2.52,37.5,42,39.812,41.25,39.0496,0,0,0,1678141743.2,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.26873775,-0.349488923076923,0.0508933018631873,0,0.197425325,0.00334512945590891,0.00157045205892285,1,1,2,"1/2",2.84155,2.70999,0.0901112,0.0901488,0.0878286,0.0866684,25769.1,22211.7,25353,23784,39513,35947.3,45876.7,42420.1,1.74308,1.8375,0.15945,0,32.4255,999.9,44.891,31.582,23.3109,54.1157,43.738,1,0.15436,-3.14048,20.2185,5.23361,11.992,4.9568,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87178,1.86258,1.86203,1.86844,1.85853,1.86495,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0072,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033.3,45033.2,1.05103,2.36572,1.44775,2.30103,1.44409,2.48413,37.0032,24.3152,18,417.277,460.775,37.8255,29.6285,30,29.2718,29.2693,21.0926,29.8075,68.4758,37.821,419.906,19.2159,97.0636,99.7384,NA,4
6,1678141743.6,25,"20230306 16:29:03","16:29:03",5,"ely_can21_t3_ch4","gibson",1678141741.1,0.000460531073943894,0.460531073943894,0.295944477496375,419.673333193899,345.399169789105,31.0529103627794,37.7304855865061,0.0101829611897279,3.85925586889557,0.0101680577970955,0.00635637328750785,0,35.291187498615,35.0056444444444,5.65013710647752,30.2577959147186,1.74567702632075,5.76934629092261,3.90446008015677,-20.3094203609257,78.5565970876303,4.76282699920112,63.0100037259057,0.295944477496375,0.460531073943894,0.354796207977594,428.111403535926,427.97196969697,-0.0038707949309294,67.2944550143451,0.462006460144167,19.2201852779101,19.417636969697,1.24650582655974e-07,110.132939756558,10,2,1,0,46209,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141741.1,419.673333333333,419.886555555556,19.4170333333333,19.2202111111111,419.386111111111,19.4099111111111,500.179222222222,89.8045888888889,0.0998262888888889,35.3832111111111,35.0056444444444,999.9,0,0,10013.1333333333,0,0.222567,-0.213311111111111,427.983444444445,428.115111111111,0.196829888888889,419.886555555556,19.2202111111111,1.74373888888889,1.72606333333333,15.2913888888889,15.1328222222222,0,0,0,0,3.13333333333333,0,-16.6777777777778,-2.15555555555556,37.5,42.0137777777778,39.812,41.25,39.0482222222222,0,0,0,1678141748,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.26863855,-0.164568923076922,0.0584299977798006,0,0.1976179,-0.00308429268292698,0.00141397420061329,1,1,2,"1/2",2.84183,2.71031,0.09011,0.0901356,0.0878303,0.0866726,25769.1,22212.4,25353,23784.4,39512.8,35948,45876.6,42421.3,1.74277,1.83792,0.159603,0,32.433,999.9,44.891,31.602,23.3363,54.4857,42.9888,1,0.154225,-3.11489,20.219,5.23391,11.992,4.95705,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87177,1.8626,1.86203,1.86844,1.85852,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0071,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033.3,45033.3,1.05103,2.38647,1.44775,2.2998,1.44409,2.35962,37.0032,24.3152,18,417.121,461.059,37.823,29.6289,30.0001,29.2737,29.2712,21.0924,29.8075,68.4758,37.814,419.906,19.2159,97.0633,99.7407,NA,4
7,1678141748.6,30,"20230306 16:29:08","16:29:08",5,"ely_can21_t3_ch4","gibson",1678141745.8,0.000459467358596358,0.459467358596358,0.294563562084187,419.639699859899,345.406072513299,31.0539761911725,37.7280027345737,0.0101497874029218,3.8525564945809,0.0101349551725943,0.00633567776510572,0,35.2945786136265,35.01747,5.65383805693844,30.252615963341,1.74569905883974,5.77040696564922,3.9081389980987,-20.2625105140994,76.6554794283285,4.65598884076729,61.0489577549964,0.294563562084187,0.459467358596358,0.4302949400291,428.101886839159,427.922763636364,-0.00256408939621252,67.2944550143451,0.46022410544368,19.2207992110809,19.4175303030303,-7.49979299307237e-06,110.132939756558,10,2,1,0,45885,0,0,0,0,2.18,0.5,"0: Broadleaf",2,"False",1678141745.8,419.6397,419.8521,19.417,19.22065,419.3525,19.40988,500.2241,89.80561,0.10009422,35.38654,35.01747,999.9,0,0,9989.057,0,0.222567,-0.2125762,427.9492,428.0802,0.1963496,419.8521,19.22065,1.743757,1.726123,15.29153,15.13336,0,0,0,0,2.59,0,-16.48,-2.69,37.5,42.0062,39.812,41.25,39.031,0,0,0,1678141752.8,0,0,"--:--:--",1675439743,1675439745,0,-1.108,-0.214,-1.206,0.007,420,23,0.5,0.32,-0.267711575,0.241230090056286,0.0584631489503805,0,0.19698585,-0.000122994371482103,0.00124699652264952,1,1,2,"1/2",2.84173,2.71009,0.0901081,0.0901259,0.0878269,0.0866744,25769,22212.3,25352.9,23784.1,39512.9,35947.5,45876.4,42420.7,1.74303,1.83757,0.159383,0,32.4398,999.9,44.915,31.602,23.3477,55.0357,42.6683,1,0.154314,-3.07658,20.2196,5.23361,11.992,4.957,3.304,9999,999.9,9999,9999,1.86844,1.86417,1.87174,1.86259,1.86203,1.86844,1.85853,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.287,0.0071,0.113826916836126,0.000452008408019119,-6.84267804538238e-08,-5.69986074957693e-11,-0.144741974963173,-0.0326337757788668,0.00264487103422568,-2.88752114221617e-05,2,1362,1,28,45033.4,45033.4,1.05225,2.39746,1.44897,2.2998,1.44409,2.30713,37.0032,24.3152,18,417.278,460.847,37.814,29.6311,30.0001,29.2761,29.2725,21.0969,29.8075,68.4758,37.7999,419.906,19.2159,97.0631,99.7394,NA,4
