 ID,total_N,sample_weight
pas-smi1-t1-ch2,50.70,3.09
pas-smi2-t1-ch2,23.03,3.11
pas-smi3-t2-ch2,29.74,2.73
pas-smi4-t2-ch2,29.56,3.25
pas-smi5-t3-ch2,27.93,3.25
pas-smi6-t3-ch2,29.16,3.24
pas-smi7-t4-ch2,18.49,2.986
pas-smi8-t4-ch2,25.08,2.82
pas-smi9-t1-ch3,50.15,1.179
pas-smi10-t1-ch3,41.84,2.808
pas-smi11-t2-ch3,66.34,2.91
pas-smi12-t2-ch3,70.86,2.721
pas-smi13-t3-ch3,39.92,2.981
pas-smi14-t3-ch3,40.03,2.745
pas-smi15-t4-ch3,38.30,3.011
pas-smi16-t4-ch3,45.12,3.163
pas-smi17-t1-ch4,39.93,3.158
pas-smi18-t1-ch4,83.43,2.73
pas-smi19-t2-ch4,30.46,3.065
pas-smi20-t2-ch4,65.70,3.122
pas-smi21-t3-ch4,103.98,2.82
pas-smi22-t3-ch4,54.02,3.031
pas-smi23-t4-ch4,31.60,2.883
pas-smi24-t4-ch4,31.56,3.256
pas-smi25-t1-ch5,19.40,2.889
pas-smi26-t1-ch5,21.76,2.768
pas-smi27-t2-ch5,25.58,3.108
pas-smi29-t3-ch5,21.52,3.172
pas-smi30-t3-ch5,23.19,2.805
pas-smi31-t4-ch5,23.77,3.135
pas-smi32-t4-ch5,17.44,2.9
ely-can1-t1-ch2,40.00,3.104
ely-can2-t1-ch2,36.29,2.825
ely-can3-t2-ch2,32.45,2.806
ely-can4-t2-ch2,35.90,2.813
ely-can5-t3-ch2,32.33,2.791
ely-can6-t3-ch2,39.12,2.866
ely-can7-t4-ch2,38.34,2.778
ely-can8-t4-ch2,47.13,2.833
ely-can9-t1-ch3,27.52,2.783
ely-can10-t1-ch3,46.15,3.075
ely-can11-t2-ch3,34.25,2.767
ely-can12-t2-ch3,37.24,2.917
ely-can13-t3-ch3,34.78,2.948
ely-can14-t3-ch4,26.21,2.862
ely-can15-t4-ch3,40.31,2.769
ely-can16-t4-ch3,43.49,2.831
ely-can17-t1-ch4,29.26,2.983
ely-can18-t1-ch4,26.49,2.756
ely-can19-t2-ch4,33.93,2.848
ely-can20-t2-ch4,26.53,3.012
ely-can21-t3-ch4,32.42,2.994
ely-can22-t3-ch4,33.06,2.988
ely-can23-t4-ch4,33.14,2.766
ely-can24-t4-ch4,24.84,2.767
ely-can25-t1-ch5,27.99,2.901
ely-can26-t1-ch5,24.73,2.975
ely-can28-t2-ch5,29.44,2.975
ely-can29-t3-ch5,26.20,2.952
ely-can31-t4-ch5,32.54,2.846
ely-can32-t4-ch5,18.40,2.762
poa-pra1-t1-ch2,47.55,2.961
poa-pra2-t1-ch2,60.57,2.918
poa-pra3-t2-ch2,42.98,2.834
poa-pra4-t2-ch2,46.48,2.918
poa-pra5-t3-ch2,34.36,2.789
poa-pra6-t3-ch2,32.73,2.907
poa-pra7-t4-ch2,58.83,2.983
poa-pra8-t4-ch2,57.51,3.004
poa-pra9-t1-ch3,62.12,2.897
poa-pra10-t1-ch3,51.76,2.859
poa-pra12-t2-ch3,66.76,2.87
poa-pra13-t3-ch3,54.16,2.809
poa-pra14-t3-ch3,53.64,2.864
poa-pra15-t4-ch3,61.10,2.841
poa-pra16-t4-ch3,50.39,2.966
poa-pra17-t1-ch4,46.76,2.847
poa-pra18-t1-ch4,54.60,2.794
poa-pra19-t2-ch4,38.15,2.762
poa-pra20-t2-ch4,40.14,2.806
poa-pra21-t3-ch4,62.58,2.913
poa-pra23-t4-ch4,46.18,2.79
poa-pra24-t4-ch4,40.38,2.835
poa-pra25-t1-ch5,22.74,2.98
poa-pra26-t1-ch5,28.23,2.909
poa-pra27-t2-ch5,25.38,2.933
poa-pra28-t2-ch5,29.88,2.902
poa-pra29-t3-ch5,42.43,2.773
poa-pra30-t3-ch5,48.30,2.951
poa-pra31-t4-ch5,31.66,2.874
poa-pra32-t4-ch5,30.14,2.971
bou-cur1-t1-ch2,39.16,2.898
bou-cur2-t1-ch2,39.27,2.904
bou-cur4-t2-ch2,91.57,2.801
bou-cur5-t2-ch2,73.93,2.884
bou-cur6-t3-ch2,74.99,2.874
bou-cur7-t4-ch2,42.70,2.993
bou-cur9-t1-ch3,36.67,2.982
bou-cur10-t1-ch3,36.26,2.947
bou-cur11-t2-ch3,33.87,2.942
bou-cur12-t2-ch3,63.71,2.942
bou-cur13-t3-ch3,31.89,2.759
bou-cur14-t3-ch3,30.75,2.805
bou-cur15-t4-ch3,31.47,2.97
bou-cur16-t4-ch4,38.65,2.94
bou-cur17-t1-ch4,32.20,2.893
bou-cur19-t2-ch4,69.22,2.913
bou-cur20-t2-ch4,35.32,2.962
bou-cur21-t3-ch4,25.44,2.81
bou-cur22-t3-ch4,68.07,2.864
bou-cur23-t4-ch4,39.79,2.979
bou-cur24-t4-ch4,35.53,2.862
bou-cur29-t3-ch4,94.59,2.915
bou-cur30-t3-ch4,75.14,2.764
bou-cur31-t4-ch5,82.94,2.814
bou-cur32-t4-ch5,38.54,2.914
sch-sco2-t1-ch2,53.72,2.881
sch-sco3-t2-ch2,66.62,2.89
sch-sco4-t2-ch2,57.16,2.902
sch-sco5-t3-ch2,66.10,2.875
sch-sco7-t4-ch2,77.43,2.845
sch-sco9-t1-ch3,48.84,2.848
sch-sco10-t1-ch3,54.14,2.882
sch-sco11-t2-ch3,40.62,2.893
sch-sco13-t3-ch3,63.19,2.817
sch-sco14-t3-ch3,66.31,2.976
sch-sco15-t4-ch3,33.76,2.796
sch-sco16-t4-ch3,34.91,2.902
sch-sco17-t1-ch4,40.42,2.939
sch-sco18-t1-ch4,41.35,2.892
sch-sco19-t2-ch4,55.60,2.85
sch-sco20-t2-ch4,36.46,2.885
sch-sco21-t3-ch4,35.84,2.779
sch-sco22-t3-ch4,60.48,2.966
sch-sco23-t4-ch4,30.43,2.859
sch-sco24-t4-ch4,55.18,2.947
sch-sco25-t1-ch5,55.91,2.778
sch-sco26-t1-ch5,46.03,2.99
sch-sco29-t3-ch5,87.83,2.882
sch-sco30-t3-ch5,74.83,2.813
sch-sco31-t4-ch5,74.94,2.805
sch-sco32-t4-ch5,79.61,2.909
sor-nut1-t1-ch2,23.16,2.881
sor-nut2-t1-ch2,30.85,2.823
sor-nut3-t2-ch2,43.95,2.926
sor-nut4-t2-ch2,43.43,2.786
sor-nut5-t3-ch2,54.66,2.778
sor-nut6-t3-ch2,57.47,2.832
sor-nut7-t4-ch2,36.15,2.78
sor-nut8-t4-ch2,30.95,2.83
sor-nut9-t1-ch3,28.67,2.95
sor-nut10-t1-ch3,37.71,2.906
sor-nut11-t2-ch3,31.79,2.896
sor-nut12-t2-ch3,33.24,2.781
sor-nut13-t3-ch3,43.64,2.873
sor-nut14-t3-ch3,47.69,2.903
sor-nut15-t4-ch3,33.55,2.836
sor-nut16-t4-ch3,27.42,2.998
sor-nut17-t1-ch4,34.80,2.867
sor-nut18-t1-ch4,24.51,2.866
sor-nut19-t2-ch4,42.81,2.993
sor-nut20-t2-ch4,28.67,2.8
sor-nut21-t3-ch4,32.41,2.819
sor-nut22-t3-ch4,46.03,2.914
sor-nut23-t4-ch4,23.36,2.965
sor-nut24-t4-ch4,35.74,2.944
sor-nut25-t1-ch4,56.43,2.892
sor-nut26-t1-ch4,48.84,2.802
sor-nut27-t2-ch5,38.13,2.731
sor-nut28-t2-ch5,64.85,2.836
sor-nut29-t3-ch5,45.41,2.753
sor-nut30-t3-ch5,32.20,2.769
sor-nut31-t4-ch5,32.10,2.742
sor-nut32-t4-ch5,30.33,2.84
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,